branch,block_no,room_no,bench_no,enrollment_no
CSE,B-1,102,1,2403051057068
CSE,B-1,102,11,2303051050055
CSE,B-1,102,21,2303051050843
CSE,B-1,102,2,2303051051190
CSE,B-1,102,12,2303051050621
CSE,B-1,102,22,2303051051052
CSE,B-1,102,3,2303051050770
CSE,B-1,102,13,2303051051264
CSE,B-1,102,23,2303051050525
CSE,B-1,102,4,2303051050235
CSE,B-1,102,14,2303051050277
CSE,B-1,102,24,2303051051266
CSE,B-1,102,5,2303051050565
CSE,B-1,102,15,2303051050479
CSE,B-1,102,25,2303051050602
CSE,B-1,102,6,2303051050924
CSE,B-1,102,16,2303051050946
CSE,B-1,102,26,2303051050437
CSE,B-1,102,7,2303051050052
CSE,B-1,102,17,2303051050553
CSE,B-1,102,27,2303051050240
CSE,B-1,102,8,2303051051117
CSE,B-1,102,18,2303051050222
CSE,B-1,102,28,2303051050080
CSE,B-1,102,9,2303051050126
CSE,B-1,102,19,2303051050443
CSE,B-1,102,29,2303051050449
CSE,B-1,102,10,2403051057149
CSE,B-1,102,20,2303051051403
CSE,B-1,102,30,2303051050393
CSE,B-1,102,1,2303051050428
CSE,B-1,102,11,2303051051238
CSE,B-1,102,21,2303051050922
CSE,B-1,102,2,2303051050103
CSE,B-1,102,12,2303051050943
CSE,B-1,102,22,2303051050170
CSE,B-1,102,3,2303051051040
CSE,B-1,102,13,2303051050457
CSE,B-1,102,23,2303051051176
CSE,B-1,102,4,2303051051010
CSE,B-1,102,14,2303051051331
CSE,B-1,102,24,2303051050228
CSE,B-1,102,5,2303051050880
CSE,B-1,102,15,2303051050877
CSE,B-1,102,25,2303051050848
CSE,B-1,102,6,2303051050341
CSE,B-1,102,16,2303051050932
CSE,B-1,102,26,2303051050178
CSE,B-1,102,7,2303051050845
CSE,B-1,102,17,2303051050900
CSE,B-1,102,27,2303051050639
CSE,B-1,102,8,2303051050257
CSE,B-1,102,18,2303051050637
CSE,B-1,102,28,2303051050908
CSE,B-1,102,9,2303051051271
CSE,B-1,102,19,2303051050120
CSE,B-1,102,29,2303051050995
CSE,B-1,102,10,2403051057020
CSE,B-1,102,20,2303051050810
CSE,B-1,102,30,2303051050117
CSE,B-3,104,1,2303051050534
CSE,B-3,104,11,2303051050156
CSE,B-3,104,21,2303051050056
CSE,B-3,104,2,2303051051327
CSE,B-3,104,12,2303051051294
CSE,B-3,104,22,2303051050975
CSE,B-3,104,3,2303051051111
CSE,B-3,104,13,2303051051308
CSE,B-3,104,23,2403051057057
CSE,B-3,104,4,2303051050403
CSE,B-3,104,14,2303051050841
CSE,B-3,104,24,2303051051380
CSE,B-3,104,5,2303051050396
CSE,B-3,104,15,2303051050928
CSE,B-3,104,25,2303051050172
CSE,B-3,104,6,2303051051180
CSE,B-3,104,16,2303051050081
CSE,B-3,104,26,2303051050439
CSE,B-3,104,7,2303051050822
CSE,B-3,104,17,2303051050209
CSE,B-3,104,27,2303051050626
CSE,B-3,104,8,2303051051310
CSE,B-3,104,18,2303051050147
CSE,B-3,104,28,2303051050380
CSE,B-3,104,9,2303051050243
CSE,B-3,104,19,2303051051258
CSE,B-3,104,29,2303051050876
CSE,B-3,104,10,2303051050800
CSE,B-3,104,20,2303051051217
CSE,B-3,104,30,2303051050918
CSE,B-3,104,1,2303051051183
CSE,B-3,104,11,2303051050140
CSE,B-3,104,21,2303051050790
CSE,B-3,104,2,2303051050008
CSE,B-3,104,12,2303051050258
CSE,B-3,104,22,2303051050278
CSE,B-3,104,3,2303051050513
CSE,B-3,104,13,2303051050261
CSE,B-3,104,23,2303051050194
CSE,B-3,104,4,2303051051114
CSE,B-3,104,14,2303051050796
CSE,B-3,104,24,2303051050936
CSE,B-3,104,5,2203051050216
CSE,B-3,104,15,2303051050467
CSE,B-3,104,25,2303051050541
CSE,B-3,104,6,2303051050370
CSE,B-3,104,16,2303051051157
CSE,B-3,104,26,2303051050251
CSE,B-3,104,7,2303051050395
CSE,B-3,104,17,2303051050359
CSE,B-3,104,27,2303051050314
CSE,B-3,104,8,2303051050145
CSE,B-3,104,18,2303051050955
CSE,B-3,104,28,2303051050390
CSE,B-3,104,9,2303051050048
CSE,B-3,104,19,2303051050265
CSE,B-3,104,29,2303051051002
CSE,B-3,104,10,2303051050397
CSE,B-3,104,20,2303051050842
